type,source_id,source,unassigned_works
paratext,S4306481741,University of British Columbia Press eBooks,6789
article,S4210239091,Journal of the Society of Mechanical Engineers,6784
dataset,S7407051759,Écoles françaises à l’étranger,6781
article,S187216704,AJN American Journal of Nursing,6753
dataset,S4363604096,Gabii Project Reports Database,6736
paratext,S4306463333,Gorgias Press eBooks,6695
article,S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),6666
other,S4306401983,Research at the University of Copenhagen (University of Copenhagen),6645
paratext,S4306463575,Lynne Rienner Publishers eBooks,6613
article,S4210190957,The Journal of the Society of Chemical Industry Japan,6505
article,S2764844316,Journal of the Fuel Society of Japan,6488
article,S4377196639,Digital Scholarship - Texas Southern University (Texas Southern University),6479
other,S4306401175,Digital Archive @ University of South Florida (University of South Florida),6328
dataset,S7407051022,CSIRO,6288
article,S4210214158,Juntendō Igaku/Juntendo igaku,6238
report,S4377196290,Gredos (University of Salamanca),6194
article,S4406923063,Taipei Medical University Repository,6177
paratext,S4306481723,University of Alabama Press eBooks,6146
paratext,S4306464194,University of Pittsburgh Press eBooks,6100
other,S4306401050,The Portal to Texas History (University of North Texas),5968
other,S7407052820,Verbundzentrale des GBV,5884
other,S4306400423,University of Southern Denmark Research Portal (University of Southern Denmark),5875
article,S4406922546,Electronic Archive of Ural Federal University (ELAR UrFU),5835
report,S4306402055,CGSPace A Repository of Agricultural Research Outputs (Consultative Group for International Agricultural Research),5778
paratext,S4306463637,Multilingual Matters eBooks,5770
dataset,S7407050887,UC San Diego,5747
paratext,S4210200754,Angewandte Chemie,5707
other,S4306400990,Arcimis (State Meteorological Agency),5693
article,S104920066,The New Scientist,5655
other,S4306400507,Jagiellonian Digital Library (Jagiellonian University),5653
article,S4306559330,鐵と鋼 : 日本鐡鋼協會々誌,5651
other,S4406922243,Central Ukrainian National Technical University Repozitory,5593
other,S7407050615,The Digital Archeological Record (tDAR),5525
other,S4306402266,Digital Repository (National Repository of Grey Literature),5523
report,S4306402542,Repository of Belarusian National Technical University (Belarusian National Technical University),5470
paratext,S4306462763,Academic Studies Press eBooks,5390
dataset,S4363604083,AEA Randomized Controlled Trials,5351
article,S14436165,Reactions Weekly,5304
paratext,S4306463591,Manchester University Press eBooks,5288
article,S4306400727,SibFU Digital Repository (Siberian Federal University),5241
dataset,S4363604098,Enzyklopädie der Neuzeit Online,5225
other,S7407064331,Chinese Culture University Repository,5224
article,S7407064297,University of Michigan Library Repository,5131
other,S49861241,The Lancet,5128
other,S4306402501,Alfred University Research and Archives (AURA) (Alfred University),5127
article,S172573765,JAMA,5120
article,S36000085,Nursing Standard,5096
report,S4306401756,"Lenus, The Irish Health Repository (Dr Steevens Hospital Library)",5065
paratext,S4306481945,University of Washington Press eBooks,5061
other,S4377196436,Scholars' Bank (University of Oregon),5060
dataset,S7407053432,Concept Library,5048
dataset,S4363604200,Concordance et Indices de la Tradition Musulmane Online,5019
paratext,S4306464147,University of Arizona Press eBooks,5007
other,S4306400159,RCIN (Digital Repository of the Scientifics Institutes) (Institute of Archaeology and Ethnology of the Polish Academy of Sciences),5003
paratext,S4306464162,University of Georgia Press eBooks,4958
article,S2764386467,YAKUGAKU ZASSHI,4945
dataset,S7407051161,DRYAD,4907
paratext,S4306463760,Pluto Press eBooks,4877
paratext,S4306463393,Hong Kong University Press eBooks,4853
article,S4306402618,Biodiversity Heritage Library (Smithsonian Institution),4832
other,S4406923048,CARLI Digital Collections (Consortium of Academic and Research Libraries in Illinois),4817
dataset,S4363604078,IUPAC Standards Online,4804
article,S7407057979,数据期刊,4794
paratext,S152760256,Chemical Communications,4762
dataset,S7407052950,chemotion,4753
other,S7407064350,Southern Utah University Digital Collections,4752
article,S4306517233,KAGAKU TO SEIBUTSU,4747
dataset,S7407050926,Human-Computer Interaction Institute,4728
article,S2764606606,Okayama Igakkai Zasshi (Journal of Okayama Medical Association),4706
other,S4406922276,INRIA a CCSD electronic archive server,4680
article,S4306494485,기독교사상,4677
paratext,S4306463362,Harvard University Asia Center eBooks,4676
dataset,S7407051350,The British Museum,4671
article,S4210171848,Kobunshi,4654
article,S4210173430,Chinese Science Bulletin (Chinese Version),4598
paratext,S4306464189,University of Notre Dame Press eBooks,4593
article,S4306493674,새가정,4583
article,S4210208841,Psychiatric News,4581
article,S157851878,Medium Ævum,4565
paratext,S4306463419,Indiana University Press eBooks,4550
other,S4306401550,Electronic Archive eScriptorium (National University of Kharkiv),4542
dataset,S4363604127,The North China Herald Online,4527
article,S2764898922,NIPPON GOMU KYOKAISHI,4499
dataset,S7407052399,The Human BioMolecular Atlas Program (HuBMAP),4479
dataset,S7407053387,TIB Data Manager,4459
article,S4377196308,ScholarsArchive  (Brigham Young University),4442
other,S7407064227,Filmoteca,4439
dataset,S7407051545,University Library Heidelberg,4373
article,S4306493554,월간 샘터,4367
dataset,S4363604089,"Encyclopaedia of Islam, Second Edition",4359
paratext,S4306463006,Catholic University of America Press eBooks,4319
dataset,S7407053422,European VLBI Network Data Archive,4287
other,S4306402243,Bogotá (Banco de la República),4275
dataset,S7407051037,Rolling Deck to Repository,4266
report,S4306400616,DIGITAL.CSIC (Spanish National Research Council (CSIC)),4228
dataset,S4363604093,Religion Past and Present,4201
report,S4306402512,HAL (Le Centre pour la Communication Scientifique Directe),4194
article,S4406922838,Institutional Repository of National University of Food Technologies,4182
article,S7407064434,StFX Scholar,4148
paratext,S4306462847,Archaeopress Publishing Ltd eBooks,4148
other,S7407051241,E-Pics Alte und Seltene Drucke,4133
article,S4210189610,Practica Oto-Rhino-Laryngologica,4119
other,S4393911389,BMJ,4117
other,S7407052470,Zurich Open Plattform,4117
other,S4306400088,UvA-DARE (University of Amsterdam),4096
other,S4306400654,MPG.PuRe (Max Planck Society),4086
article,S4210187269,JurPC,4079
article,S2913369733,Japanese Journal of Neurosurgery,4071
dataset,S7407053407,Astromaterials Data Archive,4068
paratext,S4306463975,Teachers College Press eBooks,4040
other,S4306402304,The Knowledge Bank (The Ohio State University),4039
article,S7407051042,cyberleninka.ru,4033
other,S7407055123,WU Research,3989
report,S4306402652,US Army Corps of Engineers: Engineer Research and Development Center (Knowledge Core),3945
paratext,S4306463695,Oldenbourg Wissenschaftsverlag eBooks,3942
paratext,S4306464213,University Press of Kansas eBooks,3915
paratext,S4306463742,Peter Lang eBooks,3868
paratext,S4306462908,BENTHAM SCIENCE PUBLISHERS eBooks,3861
paratext,S4306464207,University of Wisconsin Press eBooks,3844
dataset,S7407051451,nmrXiv,3843
dataset,S7407051695,IEEE DataPort,3824
paratext,S4306463779,Presses de l'Université du Québec eBooks,3824
article,S164128033,Science News,3820
paratext,S4306462936,Bloomsbury Academic eBooks,3794
other,S4306400929,MOspace Institutional Repository (University of Missouri),3745
other,S4363604073,"Warfare in North America, c. 1756-1815",3745
article,S4306401847,The University of North Carolina at Chapel Hill Digital Collections (The University of North Carolina at Chapel Hill),3738
paratext,S194691280,Annalen der Physik,3736
other,S7407064326,Fort Worth Library Archives,3693
dataset,S4363604073,"Warfare in North America, c. 1756-1815",3691
paratext,S4306480757,The New Press eBooks,3684
paratext,S4306463877,SBL Press eBooks,3680
dataset,S7407051994,Hugging Face,3651
paratext,S4306463291,Fortress Press eBooks,3628
paratext,S105746325,The Analyst,3607
article,S4210172555,Journal of International Crisis and Risk Communication Research,3606
paratext,S4306463131,Dykinson eBooks,3602
article,S4210193380,Nippon Nōgeikagaku Kaishi,3578
dataset,S4363604072,Dutch Pamphlets Online,3569
paratext,S3880285,Science,3564
article,S2764770508,Concrete Journal,3551
article,S4306402195,CERN Document Server (European Organization for Nuclear Research),3528
article,S4210213007,JOURNAL OF THE ILLUMINATING ENGINEERING INSTITUTE OF JAPAN,3522
article,S4377196632,ScholarWorks - MoreheadState (Morehead State University),3520
article,S4377196406,KeiO Associated Repository of Academic Resources (Keio University),3502
other,S7407051412,Fondation Maison des sciences de l'homme,3500
paratext,S4306463475,ISEAS Publishing eBooks,3464
other,S4306400231,Repository Universitas PGRI Yogyakarta (Universitas PGRI Yogyakarta),3428
report,S7407055233,TNO Repository,3422
paratext,S4210187129,Journal of Physical Education and Sport,3407
other,S7407050547,University of Colorado: Anschutz Medical Campus,3395
other,S7407050910,Cifra LLC Journals,3371
article,S4210225152,"Journal of the Ceramic Association, Japan",3349
article,S4406922698,Tamkang University Institutional Repository (TKUIR),3337
article,S2764646515,Tokyo Kagaku Kaishi,3336
dataset,S4363604353,Datasets - Sistema SALVE - ICMBio,3324
other,S4306400895,Bristol Research (University of Bristol),3302
article,S7407064188,UCLA - Biblioteca de Administración y Contaduría,3265
article,S4377196794,Online library Sukhoi State Technical University of Gome (Sukhoi State Technical University of Gomel),3264
other,S4406923039,Gallica (Bibliothèque nationale de France),3240
paratext,S2090548,The Journal of Physiology,3237
other,S4377196760,Doria (University of Helsinki),3236
dataset,S7407053072,Repositorio de Datos de Investigación de la Universidad de Chile,3220
article,S957635290,The Musical Times,3206
article,S2764383705,Journal of the Mining and Metallurgical Institute of Japan,3204
article,S5406935105,Lighting Design + Application,3203
dataset,S7407052420,MOST Wiedzy,3196
article,S2764687680,Rinsho yakuri/Japanese Journal of Clinical Pharmacology and Therapeutics,3196
article,S12279879,World Literature Today,3190
paratext,S4306464171,University of Iowa Press eBooks,3190
other,S4306400269,eNTUKhPIIR Repository (Kharkiv Polytechnic Institute),3189
other,S4306401898,Cardinal Scholar (Ball State University),3160
report,S4377196108,Hispana,3136
article,S2765047315,Journal of Environmental Conservation Engineering,3135
article,S56783896,SANGYO EISEIGAKU ZASSHI,3131
